Title,Price,Character,URL
1992 For Marvel Masterpieces GREEN GOBLIN #36 PSA 8 NM-MT,$44.00,,https://amazon.com//Marvel-Masterpieces-GREEN-GOBLIN-NM-MT/dp/B0BCTXWY4J/ref=sr_1_36?crid=3J38Z44WZWYDW&keywords=1992+Marvel+Masterpieces+Wolverine&qid=1676841056&sprefix=1992+marvel+%2Caps%2C596&sr=8-36
1992 For Marvel Masterpieces DR. STRANGE #24 PSA 9 Mint,$165.00,,https://amazon.com//1992-Marvel-Masterpieces-STRANGE-Mint/dp/B0BCVFDB7B/ref=sr_1_37?crid=3J38Z44WZWYDW&keywords=1992+Marvel+Masterpieces+Wolverine&qid=1676841056&sprefix=1992+marvel+%2Caps%2C596&sr=8-37
Upper Deck Legendary: A Marvel Deck Building Game,$63.65,,https://amazon.com//Upper-Deck-Legendary-Marvel-Building/dp/B00A4KHEK0/ref=sr_1_38?crid=3J38Z44WZWYDW&keywords=1992+Marvel+Masterpieces+Wolverine&qid=1676841056&sprefix=1992+marvel+%2Caps%2C596&sr=8-38
"360 Pockets Trading Card Sleeves, Side Loading Pocket Binder, Album Pages Card Collector Coin Holders Wallets Sleeves Set",$15.99,,https://amazon.com//Pockets-Trading-Sleeves-Loading-Collector/dp/B07P7VSRTD/ref=sr_1_39?crid=3J38Z44WZWYDW&keywords=1992+Marvel+Masterpieces+Wolverine&qid=1676841056&sprefix=1992+marvel+%2Caps%2C596&sr=8-39
"360 Pockets Trading Card Sleeves, Side Loading Pocket Binder, Album Pages Card Collector Coin Holders Wallets Sleeves Set",$15.99,,https://amazon.com//Pockets-Trading-Sleeves-Loading-Collector/dp/B07P7VSRTD/ref=sr_1_39?crid=3J38Z44WZWYDW&keywords=1992+Marvel+Masterpieces+Wolverine&qid=1676841056&sprefix=1992+marvel+%2Caps%2C596&sr=8-39
"360 Pockets Trading Card Sleeves, Side Loading Pocket Binder, Album Pages Card Collector Coin Holders Wallets Sleeves Set",$15.99,,https://amazon.com//Pockets-Trading-Sleeves-Loading-Collector/dp/B07P7VSRTD/ref=sr_1_39?crid=3J38Z44WZWYDW&keywords=1992+Marvel+Masterpieces+Wolverine&qid=1676841056&sprefix=1992+marvel+%2Caps%2C596&sr=8-39
"1994 Marvel Universe Series V Base Set of 200 Cards NM/M Spider-Man, X-Men",$85.00,,https://amazon.com//Marvel-Universe-Cards-Spider-Man-X-Men/dp/B07CQVXKQP/ref=sr_1_42?crid=3J38Z44WZWYDW&keywords=1992+Marvel+Masterpieces+Wolverine&qid=1676841056&sprefix=1992+marvel+%2Caps%2C596&sr=8-42
300 Card Gift Box with Assorted Mix Marvel Trading Cards From the 1994 Fleer Marvel Masterpieces and Universe sets PLUS a Bonus Limited Silver Insert Card & 3 Flair Marvel cards + a Sealed Pack of 1994 Marvel Universe Jumbos,$85.00,,https://amazon.com//Assorted-Fleer-Masterpieces-Universe-Spiderman/dp/B01KK7OQT8/ref=sr_1_43?crid=3J38Z44WZWYDW&keywords=1992+Marvel+Masterpieces+Wolverine&qid=1676841056&sprefix=1992+marvel+%2Caps%2C596&sr=8-43
Marvel Super Hero Mashers Wolverine Figure,$44.99,"<span class=""a-size-base-plus a-color-base a-text-normal"">Marvel Super Hero Mashers Wolverine Figure</span>",https://amazon.com//Marvel-Super-Mashers-Wolverine-Figure/dp/B00G69PZU4/ref=sr_1_44?crid=3J38Z44WZWYDW&keywords=1992+Marvel+Masterpieces+Wolverine&qid=1676841056&sprefix=1992+marvel+%2Caps%2C596&sr=8-44
"Marvel Legends Series Wolverine 5-Pack, Includes Marvel's Omega Red, Cyber, Callisto, Jason Wyngarde, 13 Accessories",$93.25,"<span class=""a-size-base-plus a-color-base a-text-normal"">Marvel Legends Series Wolverine 5-Pack, Includes Marvel's Omega Red, Cyber, Callisto, Jason Wyngarde, 13 Accessories</span>",https://amazon.com//Marvel-Wolverine-Callisto-Wyngarde-Accessories/dp/B08TP8M886/ref=sr_1_45?crid=3J38Z44WZWYDW&keywords=1992+Marvel+Masterpieces+Wolverine&qid=1676841056&sprefix=1992+marvel+%2Caps%2C596&sr=8-45
"200 Card Gift Box Containing Assorted Fleer and Skybox Marvel Cards From 1993-1996 Including assorted cards from the following sets: Marvel Masterpieces, Marvel Universe, Ultra Xmen, Fleer Spiderman and a Bonus Limited Edition Insert Card",$80.00,,https://amazon.com//Containing-Assorted-1993-1996-Including-following/dp/B01KR436GS/ref=sr_1_46?crid=3J38Z44WZWYDW&keywords=1992+Marvel+Masterpieces+Wolverine&qid=1676841056&sprefix=1992+marvel+%2Caps%2C596&sr=8-46
"200 Card Gift Box Containing Assorted Fleer and Skybox Marvel Cards From 1993-1996 Including assorted cards from the following sets: Marvel Masterpieces, Marvel Universe, Ultra Xmen, Fleer Spiderman and a Bonus Limited Edition Insert Card",$80.00,,https://amazon.com//Containing-Assorted-1993-1996-Including-following/dp/B01KR436GS/ref=sr_1_46?crid=3J38Z44WZWYDW&keywords=1992+Marvel+Masterpieces+Wolverine&qid=1676841056&sprefix=1992+marvel+%2Caps%2C596&sr=8-46
"200 Card Gift Box Containing Assorted Fleer and Skybox Marvel Cards From 1993-1996 Including assorted cards from the following sets: Marvel Masterpieces, Marvel Universe, Ultra Xmen, Fleer Spiderman and a Bonus Limited Edition Insert Card",$80.00,,https://amazon.com//Containing-Assorted-1993-1996-Including-following/dp/B01KR436GS/ref=sr_1_46?crid=3J38Z44WZWYDW&keywords=1992+Marvel+Masterpieces+Wolverine&qid=1676841056&sprefix=1992+marvel+%2Caps%2C596&sr=8-46
